Финансовая модель эффекта проекта "Накопительный счет"
Изменение показателя в месяц:


Объём:


Стоимость единицы:


Выход на уровень:


Срок сохранения эффекта:


Единовременные затраты:


Ежемесячные затраты:


Горизонт:


Годовая ставка дисконтирования:


Рассчитать
Доход за первый год:3 648 333
Окупаемость, мес.:7
NPV за горизонт:8034655.07
Месяц	Доход	Затраты	Поток	Накопл. поток	Дисконт.	Накопл. дисконт.
0	0	600000	-600000	-600 000	-600000	-600 000
1	18333.333333333332	50000	-31666.666666666668	-631 667	-31299.98988556502	-631 300
2	55000	50000	5000	-626 667	4884.877729378534	-626 415
3	110000	50000	60000	-566 667	57939.77312403914	-568 475
4	165000	50000	115000	-451 667	109765.33998250056	-458 710
5	220000	50000	170000	-281 667	160382.9341813561	-298 327
6	275000	50000	225000	-56 667	209813.58185407045	-88 513
7	330000	50000	280000	223 333	258077.9841639636	169 565
8	385000	50000	335000	558 333	305196.5220108709	474 761
9	440000	50000	390000	948 333	351189.2606723759	825 950
10	495000	50000	445000	1 393 333	396075.95438049943	1 222 026
11	550000	50000	500000	1 893 333	439876.05083471833	1 661 902
12	605000	50000	555000	2 448 333	482608.6956521734	2 144 511
13	641666.6666666666	50000	591666.6666666666	3 040 000	508535.3047769139	2 653 046
14	660000	50000	610000	3 650 000	518221.8112905917	3 171 268
15	660000	50000	610000	4 260 000	512221.1826907802	3 683 489
16	660000	50000	610000	4 870 000	506290.03697032336	4 189 779
17	660000	50000	610000	5 480 000	500427.5695684251	4 690 207
18	660000	50000	610000	6 090 000	494632.98524051346	5 184 840
19	660000	50000	610000	6 700 000	488905.49795036536	5 673 745
20	660000	50000	610000	7 310 000	483244.330763481	6 156 990
21	660000	50000	610000	7 920 000	477648.7157416924	6 634 638
22	660000	50000	610000	8 530 000	472117.89383899246	7 106 756
23	660000	50000	610000	9 140 000	466651.1147985703	7 573 407
24	660000	50000	610000	9 750 000	461247.6370510387	8 034 655
Сохранить SVG
