date,amount_mln_rub
2023-01-01,71.99
2023-01-02,140.88
2023-01-03,141.36
2023-01-04,156.07
2023-01-05,183.6
2023-01-06,184.94
2023-01-07,128.22
2023-01-08,75.57
2023-01-09,150.58
2023-01-10,151.95
2023-01-11,160.34
2023-01-12,144.04
2023-01-13,141.35
2023-01-14,101.52
2023-01-15,75.07
2023-01-16,144.72
2023-01-17,161.41
2023-01-18,136.53
2023-01-19,160.0
2023-01-20,161.94
2023-01-21,122.6
2023-01-22,84.62
2023-01-23,146.93
2023-01-24,151.35
2023-01-25,149.48
2023-01-26,135.71
2023-01-27,134.95
2023-01-28,95.12
2023-01-29,66.27
2023-01-30,140.99
2023-01-31,144.49
2023-02-01,132.15
2023-02-02,148.86
2023-02-03,121.36
2023-02-04,105.48
2023-02-05,81.13
2023-02-06,187.49
2023-02-07,184.04
2023-02-08,143.2
2023-02-09,132.0
2023-02-10,127.26
2023-02-11,79.36
2023-02-12,63.14
2023-02-13,136.62
2023-02-14,128.43
2023-02-15,127.91
2023-02-16,134.29
2023-02-17,127.77
2023-02-18,83.13
2023-02-19,67.95
2023-02-20,160.68
2023-02-21,176.95
2023-02-22,142.63
2023-02-23,116.03
2023-02-24,114.55
2023-02-25,84.62
2023-02-26,61.03
2023-02-27,128.64
2023-02-28,117.52
2023-03-01,113.13
2023-03-02,118.65
2023-03-03,112.42
2023-03-04,93.83
2023-03-05,68.89
2023-03-06,172.54
2023-03-07,151.18
2023-03-08,141.67
2023-03-09,111.53
2023-03-10,111.72
2023-03-11,78.75
2023-03-12,54.81
2023-03-13,123.51
2023-03-14,121.18
2023-03-15,111.12
2023-03-16,112.86
2023-03-17,101.22
2023-03-18,74.27
2023-03-19,57.33
2023-03-20,138.62
2023-03-21,143.51
2023-03-22,137.19
2023-03-23,108.08
2023-03-24,100.18
2023-03-25,71.64
2023-03-26,48.82
2023-03-27,102.96
2023-03-28,112.02
2023-03-29,97.02
2023-03-30,108.18
2023-03-31,89.8
2023-04-01,64.17
2023-04-02,47.31
2023-04-03,96.46
2023-04-04,111.88
2023-04-05,128.62
2023-04-06,139.46
2023-04-07,111.93
2023-04-08,76.27
2023-04-09,48.43
2023-04-10,94.88
2023-04-11,104.69
2023-04-12,96.89
2023-04-13,84.08
2023-04-14,88.22
2023-04-15,63.18
2023-04-16,48.65
2023-04-17,94.54
2023-04-18,94.36
2023-04-19,98.42
2023-04-20,96.77
2023-04-21,107.74
2023-04-22,73.4
2023-04-23,47.36
2023-04-24,93.21
2023-04-25,100.05
2023-04-26,96.53
2023-04-27,89.62
2023-04-28,76.72
2023-04-29,56.62
2023-04-30,43.89
2023-05-01,84.38
2023-05-02,88.47
2023-05-03,86.25
2023-05-04,95.97
2023-05-05,96.23
2023-05-06,85.1
2023-05-07,48.79
2023-05-08,91.09
2023-05-09,96.95
2023-05-10,90.59
2023-05-11,88.34
2023-05-12,81.18
2023-05-13,55.84
2023-05-14,42.88
2023-05-15,82.96
2023-05-16,85.85
2023-05-17,74.25
2023-05-18,84.24
2023-05-19,85.76
2023-05-20,61.95
2023-05-21,51.02
2023-05-22,95.8
2023-05-23,86.33
2023-05-24,86.3
2023-05-25,74.78
2023-05-26,70.6
2023-05-27,53.48
2023-05-28,39.1
2023-05-29,78.89
2023-05-30,86.05
2023-05-31,84.63
2023-06-01,81.75
2023-06-02,71.78
2023-06-03,52.77
2023-06-04,39.74
2023-06-05,99.0
2023-06-06,123.13
2023-06-07,96.57
2023-06-08,82.33
2023-06-09,77.35
2023-06-10,53.23
2023-06-11,36.0
2023-06-12,80.9
2023-06-13,81.07
2023-06-14,75.52
2023-06-15,74.61
2023-06-16,67.07
2023-06-17,52.12
2023-06-18,36.68
2023-06-19,86.32
2023-06-20,92.93
2023-06-21,88.38
2023-06-22,110.19
2023-06-23,80.34
2023-06-24,48.97
2023-06-25,38.54
2023-06-26,75.78
2023-06-27,81.98
2023-06-28,86.84
2023-06-29,78.18
2023-06-30,74.3
2023-07-01,49.69
2023-07-02,37.36
2023-07-03,86.7
2023-07-04,93.72
2023-07-05,107.74
2023-07-06,116.31
2023-07-07,94.3
2023-07-08,55.3
2023-07-09,37.35
2023-07-10,85.4
