week_start | calls_th | churn_pct | app_error_rate_pct
2026-02-02 | 40.1 | 3.06 | 6.38
2026-02-09 | 43.9 | 2.88 | 5.42
2026-02-16 | 39.0 | 3.26 | 6.63
2026-02-23 | 36.3 | 2.54 | 3.42
2026-03-02 | 35.9 | 2.05 | 4.61
2026-03-09 | 40.2 | 2.78 | 4.24
2026-03-16 | 28.6 | 2.84 | 4.4
2026-03-23 | 44.7 | 1.95 | 3.81
2026-03-30 | 43.0 | 3.0 | 4.74
2026-04-06 | 33.1 | 3.17 | 3.47
2026-04-13 | 46.5 | 3.3 | 6.11
2026-04-20 | 41.1 | 2.76 | 6.53
2026-04-27 | 50.2 | 3.64 | 9.07
2026-05-04 | 49.0 | 3.32 | 9.17
2026-05-11 | 53.1 | 3.23 | 11.45
2026-05-18 | 64.0 | 4.56 | 18.41
2026-05-25 | 70.3 | 4.2 | 18.61
2026-06-01 | 62.6 | 4.56 | 18.95
2026-06-08 | 74.9 | 5.56 | 20.3
2026-06-15 | 56.3 | 4.61 | 14.19
2026-06-22 | 61.5 | 3.9 | 13.17
2026-06-29 | 44.8 | 3.16 | 11.33
2026-07-06 | 44.8 | 2.91 | 10.2
2026-07-13 | 43.6 | 2.72 | 7.1
2026-07-20 | 32.0 | 2.93 | 5.1
2026-07-27 | 40.0 | 2.92 | 5.91
