месяц;сервис;объём_операций_млн_руб
2024-01;переводы;1350,0
2024-01;оплата услуг;1133,3
2024-01;эквайринг;674,0
2024-01;международные;294,9
2024-02;переводы;1288,8
2024-02;оплата услуг;954,2
2024-02;эквайринг;729,0
2024-02;международные;393,4
2024-03;переводы;1454,9
2024-03;оплата услуг;867,4
2024-03;эквайринг;703,2
2024-03;международные;298,8
2024-04;переводы;1283,0
2024-04;оплата услуг;1088,0
2024-04;эквайринг;710,7
2024-04;международные;383,3
2024-05;переводы;1259,9
2024-05;оплата услуг;1124,3
2024-05;эквайринг;741,7
2024-05;международные;353,6
2024-06;переводы;1370,5
2024-06;оплата услуг;1148,9
2024-06;эквайринг;655,0
2024-06;международные;392,0
2024-07;переводы;1167,7
2024-07;оплата услуг;1159,2
2024-07;эквайринг;777,9
2024-07;международные;302,4
2024-08;переводы;1472,1
2024-08;оплата услуг;954,1
2024-08;эквайринг;590,7
2024-08;международные;330,1
2024-09;переводы;1212,5
2024-09;оплата услуг;1122,1
2024-09;эквайринг;675,6
2024-09;международные;360,1
2024-10;переводы;1381,2
2024-10;оплата услуг;1085,2
2024-10;эквайринг;686,0
2024-10;международные;332,5
2024-11;переводы;1472,3
2024-11;оплата услуг;1099,1
2024-11;эквайринг;645,0
2024-11;международные;419,6
2024-12;переводы;1364,4
2024-12;оплата услуг;1138,0
2024-12;эквайринг;774,1
2024-12;международные;330,9
2025-01;переводы;1457,4
2025-01;оплата услуг;1143,1
2025-01;эквайринг;685,5
2025-01;международные;334,3
2025-02;переводы;1372,4
2025-02;оплата услуг;1253,6
2025-02;эквайринг;756,8
2025-02;международные;360,5
2025-03;переводы;1345,4
2025-03;оплата услуг;1069,0
2025-03;эквайринг;724,0
2025-03;международные;413,1
2025-04;переводы;1416,5
2025-04;оплата услуг;1111,9
2025-04;эквайринг;747,7
2025-04;международные;328,4
2025-05;переводы;1448,4
2025-05;оплата услуг;1129,4
2025-05;эквайринг;688,6
2025-05;международные;329,3
2025-06;переводы;1427,2
2025-06;оплата услуг;1293,9
2025-06;эквайринг;713,8
2025-06;международные;422,4
2025-07;переводы;1451,1
2025-07;оплата услуг;1228,7
2025-07;эквайринг;737,3
2025-07;международные;379,5
2025-08;переводы;1325,0
2025-08;оплата услуг;985,2
2025-08;эквайринг;843,0
2025-08;международные;432,8
2025-09;переводы;1547,7
2025-09;оплата услуг;1192,6
2025-09;эквайринг;717,3
2025-09;международные;406,2
2025-10;переводы;1435,1
2025-10;оплата услуг;1243,4
2025-10;эквайринг;665,5
2025-10;международные;390,9
2025-11;переводы;1481,0
2025-11;оплата услуг;1195,5
2025-11;эквайринг;808,3
2025-11;международные;398,4
2025-12;переводы;1620,9
2025-12;оплата услуг;1217,4
2025-12;эквайринг;694,0
2025-12;международные;413,6
