месяц;операций_в_отделениях;доступных_в_приложении
2024-01;252013;94909
2024-02;261458;93378
2024-03;249067;87120
2024-04;260811;91441
2024-05;259765;84451
2024-06;249018;92168
2024-07;244849;81130
2024-08;246544;81559
2024-09;243152;88825
2024-10;252102;93802
2024-11;248222;89298
2024-12;250780;82371
2025-01;256004;93053
2025-02;243906;78573
2025-03;245286;90777
2025-04;251891;81282
2025-05;253439;82260
2025-06;249787;85523
2025-07;236882;88483
2025-08;251268;83426
2025-09;239406;89964
2025-10;240372;77876
2025-11;241329;88562
2025-12;235449;85229
