месяц;регион;операций_в_отделениях
2024-01;Центральный;88512
2024-01;Северо-Западный;46137
2024-01;Южный;48268
2024-01;Уральский;33457
2024-01;Сибирский;35639
2024-02;Центральный;81752
2024-02;Северо-Западный;48095
2024-02;Южный;55243
2024-02;Уральский;36576
2024-02;Сибирский;39792
2024-03;Центральный;75384
2024-03;Северо-Западный;49147
2024-03;Южный;51087
2024-03;Уральский;35634
2024-03;Сибирский;37815
2024-04;Центральный;71201
2024-04;Северо-Западный;57305
2024-04;Южный;48589
2024-04;Уральский;38421
2024-04;Сибирский;45296
2024-05;Центральный;84356
2024-05;Северо-Западный;48263
2024-05;Южный;54829
2024-05;Уральский;35449
2024-05;Сибирский;36868
2024-06;Центральный;70471
2024-06;Северо-Западный;57856
2024-06;Южный;45487
2024-06;Уральский;41400
2024-06;Сибирский;33804
2024-07;Центральный;69874
2024-07;Северо-Западный;52034
2024-07;Южный;49885
2024-07;Уральский;35116
2024-07;Сибирский;37940
2024-08;Центральный;78650
2024-08;Северо-Западный;47800
2024-08;Южный;47967
2024-08;Уральский;40221
2024-08;Сибирский;31905
2024-09;Центральный;78111
2024-09;Северо-Западный;44875
2024-09;Южный;50603
2024-09;Уральский;36864
2024-09;Сибирский;32699
2024-10;Центральный;80495
2024-10;Северо-Западный;43363
2024-10;Южный;51549
2024-10;Уральский;41467
2024-10;Сибирский;35227
2024-11;Центральный;66231
2024-11;Северо-Западный;47982
2024-11;Южный;55967
2024-11;Уральский;34551
2024-11;Сибирский;43492
2024-12;Центральный;83061
2024-12;Северо-Западный;50890
2024-12;Южный;50802
2024-12;Уральский;32973
2024-12;Сибирский;33054
2025-01;Центральный;85488
2025-01;Северо-Западный;46427
2025-01;Южный;45488
2025-01;Уральский;42592
2025-01;Сибирский;36009
2025-02;Центральный;67972
2025-02;Северо-Западный;48341
2025-02;Южный;52611
2025-02;Уральский;42276
2025-02;Сибирский;32707
2025-03;Центральный;74293
2025-03;Северо-Западный;54328
2025-03;Южный;42125
2025-03;Уральский;41612
2025-03;Сибирский;32928
2025-04;Центральный;76081
2025-04;Северо-Западный;53102
2025-04;Южный;42645
2025-04;Уральский;40242
2025-04;Сибирский;39822
2025-05;Центральный;68680
2025-05;Северо-Западный;58485
2025-05;Южный;44673
2025-05;Уральский;43653
2025-05;Сибирский;37949
2025-06;Центральный;79738
2025-06;Северо-Западный;49747
2025-06;Южный;48053
2025-06;Уральский;36532
2025-06;Сибирский;35717
2025-07;Центральный;79032
2025-07;Северо-Западный;43770
2025-07;Южный;46178
2025-07;Уральский;31493
2025-07;Сибирский;36409
2025-08;Центральный;75345
2025-08;Северо-Западный;50671
2025-08;Южный;48511
2025-08;Уральский;40575
2025-08;Сибирский;36166
2025-09;Центральный;64830
2025-09;Северо-Западный;47589
2025-09;Южный;48125
2025-09;Уральский;38573
2025-09;Сибирский;40288
2025-10;Центральный;67853
2025-10;Северо-Западный;56168
2025-10;Южный;49558
2025-10;Уральский;31399
2025-10;Сибирский;35394
2025-11;Центральный;74731
2025-11;Северо-Западный;46538
2025-11;Южный;50777
2025-11;Уральский;33474
2025-11;Сибирский;35809
2025-12;Центральный;72281
2025-12;Северо-Западный;47406
2025-12;Южный;43673
2025-12;Уральский;39297
2025-12;Сибирский;32792
