id_заявки;срок_рассмотрения
800000;до 3 дней
800001;до 3 дней
800002;до 3 дней
800003;до 3 дней
800004;до 3 дней
800005;до 3 дней
800006;до 3 дней
800007;до 3 дней
800008;до 3 дней
800009;до 3 дней
800010;до 3 дней
800011;дольше 3 дней
800012;до 3 дней
800013;дольше 3 дней
800014;до 3 дней
800015;до 3 дней
800016;до 3 дней
800017;до 3 дней
800018;до 3 дней
800019;дольше 3 дней
800020;до 3 дней
800021;дольше 3 дней
800022;до 3 дней
800023;дольше 3 дней
800024;до 3 дней
800025;до 3 дней
800026;до 3 дней
800027;дольше 3 дней
800028;до 3 дней
800029;до 3 дней
800030;дольше 3 дней
800031;до 3 дней
800032;до 3 дней
800033;до 3 дней
800034;до 3 дней
800035;до 3 дней
800036;дольше 3 дней
800037;до 3 дней
800038;дольше 3 дней
800039;до 3 дней
800040;до 3 дней
800041;до 3 дней
800042;до 3 дней
800043;до 3 дней
800044;до 3 дней
800045;дольше 3 дней
800046;до 3 дней
800047;до 3 дней
800048;до 3 дней
800049;дольше 3 дней
800050;до 3 дней
800051;дольше 3 дней
800052;дольше 3 дней
800053;до 3 дней
800054;дольше 3 дней
800055;дольше 3 дней
800056;до 3 дней
800057;дольше 3 дней
800058;до 3 дней
800059;до 3 дней
800060;дольше 3 дней
800061;до 3 дней
800062;до 3 дней
800063;дольше 3 дней
800064;дольше 3 дней
800065;до 3 дней
800066;до 3 дней
800067;до 3 дней
800068;до 3 дней
800069;до 3 дней
800070;дольше 3 дней
800071;дольше 3 дней
800072;до 3 дней
800073;до 3 дней
800074;дольше 3 дней
800075;до 3 дней
800076;дольше 3 дней
800077;до 3 дней
800078;до 3 дней
800079;дольше 3 дней
800080;дольше 3 дней
800081;дольше 3 дней
800082;до 3 дней
800083;до 3 дней
800084;до 3 дней
800085;до 3 дней
800086;до 3 дней
800087;до 3 дней
800088;до 3 дней
800089;дольше 3 дней
800090;дольше 3 дней
800091;до 3 дней
800092;до 3 дней
800093;до 3 дней
800094;до 3 дней
800095;до 3 дней
800096;до 3 дней
800097;до 3 дней
800098;до 3 дней
800099;до 3 дней
800100;дольше 3 дней
800101;дольше 3 дней
800102;до 3 дней
800103;до 3 дней
800104;до 3 дней
800105;до 3 дней
800106;до 3 дней
800107;до 3 дней
800108;дольше 3 дней
800109;до 3 дней
800110;дольше 3 дней
800111;до 3 дней
800112;до 3 дней
800113;до 3 дней
800114;дольше 3 дней
800115;до 3 дней
800116;до 3 дней
800117;дольше 3 дней
800118;дольше 3 дней
800119;дольше 3 дней
800120;до 3 дней
800121;дольше 3 дней
800122;дольше 3 дней
800123;до 3 дней
800124;до 3 дней
800125;до 3 дней
800126;дольше 3 дней
800127;до 3 дней
800128;до 3 дней
800129;до 3 дней
800130;до 3 дней
800131;дольше 3 дней
800132;до 3 дней
800133;дольше 3 дней
800134;до 3 дней
800135;до 3 дней
800136;до 3 дней
800137;до 3 дней
800138;дольше 3 дней
800139;дольше 3 дней
800140;до 3 дней
800141;дольше 3 дней
800142;до 3 дней
800143;до 3 дней
800144;до 3 дней
800145;дольше 3 дней
800146;до 3 дней
800147;до 3 дней
800148;до 3 дней
800149;дольше 3 дней
800150;дольше 3 дней
800151;до 3 дней
800152;до 3 дней
800153;дольше 3 дней
800154;до 3 дней
800155;до 3 дней
800156;дольше 3 дней
800157;до 3 дней
800158;до 3 дней
800159;до 3 дней
800160;до 3 дней
800161;дольше 3 дней
800162;до 3 дней
800163;до 3 дней
800164;до 3 дней
800165;дольше 3 дней
800166;до 3 дней
800167;до 3 дней
800168;до 3 дней
800169;до 3 дней
800170;дольше 3 дней
800171;до 3 дней
800172;дольше 3 дней
800173;до 3 дней
800174;до 3 дней
800175;до 3 дней
800176;до 3 дней
800177;дольше 3 дней
800178;дольше 3 дней
800179;дольше 3 дней
800180;до 3 дней
800181;до 3 дней
800182;дольше 3 дней
800183;до 3 дней
800184;до 3 дней
800185;до 3 дней
800186;до 3 дней
800187;до 3 дней
800188;до 3 дней
800189;дольше 3 дней
800190;до 3 дней
800191;до 3 дней
800192;до 3 дней
800193;до 3 дней
800194;до 3 дней
800195;до 3 дней
800196;дольше 3 дней
800197;до 3 дней
800198;до 3 дней
800199;дольше 3 дней
