месяц;канал;обращений
2024-01;телефон;22627
2024-01;чат;10583
2024-01;отделение;3694
2024-01;почта;4275
2024-02;телефон;20347
2024-02;чат;12325
2024-02;отделение;4351
2024-02;почта;4092
2024-03;телефон;20317
2024-03;чат;12938
2024-03;отделение;4012
2024-03;почта;3988
2024-04;телефон;21003
2024-04;чат;12714
2024-04;отделение;4958
2024-04;почта;4862
2024-05;телефон;21842
2024-05;чат;12469
2024-05;отделение;3364
2024-05;почта;3739
2024-06;телефон;21906
2024-06;чат;14068
2024-06;отделение;4247
2024-06;почта;4422
2024-07;телефон;23162
2024-07;чат;11785
2024-07;отделение;3935
2024-07;почта;4865
2024-08;телефон;21903
2024-08;чат;13576
2024-08;отделение;3666
2024-08;почта;4252
2024-09;телефон;21970
2024-09;чат;12679
2024-09;отделение;4651
2024-09;почта;4662
2024-10;телефон;22729
2024-10;чат;13293
2024-10;отделение;4081
2024-10;почта;4133
2024-11;телефон;22324
2024-11;чат;14440
2024-11;отделение;3747
2024-11;почта;4304
2024-12;телефон;21421
2024-12;чат;15111
2024-12;отделение;4739
2024-12;почта;4478
2025-01;телефон;22380
2025-01;чат;13242
2025-01;отделение;4530
2025-01;почта;4967
2025-02;телефон;22657
2025-02;чат;14885
2025-02;отделение;3960
2025-02;почта;5069
2025-03;телефон;22255
2025-03;чат;13601
2025-03;отделение;4590
2025-03;почта;3961
2025-04;телефон;23772
2025-04;чат;14164
2025-04;отделение;4739
2025-04;почта;4291
2025-05;телефон;21940
2025-05;чат;13570
2025-05;отделение;4208
2025-05;почта;5091
2025-06;телефон;22942
2025-06;чат;12943
2025-06;отделение;4158
2025-06;почта;5431
2025-07;телефон;21995
2025-07;чат;14629
2025-07;отделение;4780
2025-07;почта;4395
2025-08;телефон;23392
2025-08;чат;15218
2025-08;отделение;3869
2025-08;почта;4136
2025-09;телефон;21486
2025-09;чат;16309
2025-09;отделение;4959
2025-09;почта;4692
2025-10;телефон;25431
2025-10;чат;12982
2025-10;отделение;4164
2025-10;почта;4328
2025-11;телефон;23402
2025-11;чат;13976
2025-11;отделение;3904
2025-11;почта;4947
2025-12;телефон;22486
2025-12;чат;13638
2025-12;отделение;4676
2025-12;почта;4599
