месяц;обращений;повторных_обращений
2024-01;41180;11460
2024-02;41115;10660
2024-03;41256;11309
2024-04;43536;11775
2024-05;41413;11864
2024-06;44643;13455
2024-07;43748;11446
2024-08;43396;12334
2024-09;43962;12082
2024-10;44236;12545
2024-11;44814;13460
2024-12;45748;13299
2025-01;45119;11706
2025-02;46571;13893
2025-03;44406;12576
2025-04;46966;12495
2025-05;44809;12757
2025-06;45475;12736
2025-07;45799;13763
2025-08;46615;12949
2025-09;47447;13946
2025-10;46906;13843
2025-11;46228;13943
2025-12;45399;11866
