id_обращения;тип_обращения
900000;первичное
900001;повторное
900002;повторное
900003;повторное
900004;повторное
900005;первичное
900006;первичное
900007;первичное
900008;повторное
900009;первичное
900010;первичное
900011;повторное
900012;первичное
900013;первичное
900014;первичное
900015;первичное
900016;первичное
900017;первичное
900018;повторное
900019;первичное
900020;первичное
900021;первичное
900022;первичное
900023;первичное
900024;повторное
900025;первичное
900026;повторное
900027;повторное
900028;повторное
900029;первичное
900030;первичное
900031;первичное
900032;повторное
900033;первичное
900034;первичное
900035;первичное
900036;первичное
900037;первичное
900038;первичное
900039;первичное
900040;повторное
900041;повторное
900042;первичное
900043;первичное
900044;повторное
900045;первичное
900046;повторное
900047;первичное
900048;первичное
900049;первичное
900050;повторное
900051;первичное
900052;повторное
900053;первичное
900054;первичное
900055;первичное
900056;первичное
900057;первичное
900058;первичное
900059;первичное
900060;первичное
900061;повторное
900062;первичное
900063;повторное
900064;первичное
900065;первичное
900066;первичное
900067;первичное
900068;повторное
900069;повторное
900070;первичное
900071;первичное
900072;первичное
900073;повторное
900074;повторное
900075;повторное
900076;первичное
900077;первичное
900078;первичное
900079;первичное
900080;повторное
900081;повторное
900082;первичное
900083;первичное
900084;повторное
900085;первичное
900086;первичное
900087;первичное
900088;первичное
900089;первичное
900090;первичное
900091;первичное
900092;первичное
900093;первичное
900094;первичное
900095;повторное
900096;первичное
900097;первичное
900098;первичное
900099;первичное
900100;повторное
900101;повторное
900102;повторное
900103;первичное
900104;первичное
900105;первичное
900106;повторное
900107;первичное
900108;повторное
900109;первичное
900110;первичное
900111;первичное
900112;первичное
900113;первичное
900114;первичное
900115;первичное
900116;первичное
900117;первичное
900118;первичное
900119;повторное
900120;повторное
900121;повторное
900122;первичное
900123;первичное
900124;первичное
900125;первичное
900126;первичное
900127;первичное
900128;первичное
900129;повторное
900130;первичное
900131;первичное
900132;повторное
900133;первичное
900134;первичное
900135;повторное
900136;первичное
900137;первичное
900138;первичное
900139;первичное
900140;первичное
900141;первичное
900142;первичное
900143;повторное
900144;первичное
900145;первичное
900146;повторное
900147;первичное
900148;повторное
900149;первичное
900150;повторное
900151;первичное
900152;повторное
900153;первичное
900154;первичное
900155;повторное
900156;первичное
900157;первичное
900158;первичное
900159;первичное
900160;повторное
900161;первичное
900162;первичное
900163;повторное
900164;первичное
900165;первичное
900166;первичное
900167;первичное
900168;первичное
900169;повторное
900170;первичное
900171;первичное
900172;первичное
900173;первичное
900174;повторное
900175;первичное
900176;первичное
900177;повторное
900178;первичное
900179;первичное
900180;первичное
900181;первичное
900182;первичное
900183;повторное
900184;первичное
900185;первичное
900186;повторное
900187;первичное
900188;первичное
900189;повторное
900190;первичное
900191;первичное
900192;первичное
900193;первичное
900194;первичное
900195;повторное
900196;первичное
900197;первичное
900198;повторное
900199;первичное
