месяц;стоимость_ручной_операции_руб;стоимость_автоматической_операции_руб
2024-01;134,12;18,82
2024-02;137,73;18,68
2024-03;133,38;19,59
2024-04;138,29;19,05
2024-05;134,45;19,91
2024-06;139,64;19,25
2024-07;139,1;19,4
2024-08;136,74;19,92
2024-09;136,88;19,71
2024-10;139,31;19,32
2024-11;140,01;19,56
2024-12;137,16;19,5
2025-01;142,4;19,98
2025-02;140,91;19,7
2025-03;141,89;19,67
2025-04;140,4;20,85
2025-05;140,51;20,84
2025-06;144,14;20,38
2025-07;142,29;21,14
2025-08;142,99;21,15
2025-09;144,78;21,13
2025-10;142,16;21,37
2025-11;144,08;21,19
2025-12;144,79;20,61
