месяц;платежей;ручной_разбор
2024-01;177997;21369
2024-02;182353;23171
2024-03;182133;23015
2024-04;191020;22989
2024-05;179732;20892
2024-06;192255;21823
2024-07;181301;23269
2024-08;187590;21522
2024-09;193740;24913
2024-10;191412;23039
2024-11;191666;22205
2024-12;192940;21593
2025-01;196825;22471
2025-02;191053;24600
2025-03;195359;22597
2025-04;192767;23595
2025-05;200321;24479
2025-06;202455;22714
2025-07;197428;24226
2025-08;210173;25591
2025-09;206933;25152
2025-10;208848;23743
2025-11;213166;26089
2025-12;203768;26025
