месяц;закрытые_счета;активные_счета
2024-01;1521;60452
2024-02;1449;63243
2024-03;1509;67165
2024-04;1522;70288
2024-05;1624;74526
2024-06;1637;77328
2024-07;1694;80489
2024-08;1584;83920
2024-09;1661;87934
2024-10;1616;90871
2024-11;1669;94943
2024-12;1740;99043
2025-01;1677;101534
2025-02;1729;104627
2025-03;1831;109777
2025-04;1834;112195
2025-05;1796;114706
2025-06;1886;118051
2025-07;1950;121651
2025-08;1819;126408
2025-09;1994;130322
2025-10;1995;132836
2025-11;1947;135330
2025-12;1931;139669
