месяц;ставка_по_счёту_проц;ставка_размещения_проц
2024-01;12,1;15,1
2024-02;11,82;14,82
2024-03;11,73;14,73
2024-04;11,53;14,53
2024-05;11,49;14,49
2024-06;11,87;14,87
2024-07;11,58;14,58
2024-08;11,47;14,47
2024-09;11,08;14,08
2024-10;11,37;14,37
2024-11;10,91;13,91
2024-12;10,96;13,96
2025-01;11,28;14,28
2025-02;10,96;13,96
2025-03;10,82;13,82
2025-04;10,81;13,81
2025-05;10,83;13,83
2025-06;10,7;13,7
2025-07;10,27;13,27
2025-08;10,06;13,06
2025-09;10,15;13,15
2025-10;10,03;13,03
2025-11;9,91;12,91
2025-12;10,27;13,27
