id_карты;статус_через_30_дней
500000;активирована
500001;не активирована
500002;активирована
500003;активирована
500004;активирована
500005;не активирована
500006;не активирована
500007;активирована
500008;активирована
500009;активирована
500010;активирована
500011;не активирована
500012;активирована
500013;активирована
500014;активирована
500015;не активирована
500016;активирована
500017;активирована
500018;активирована
500019;активирована
500020;активирована
500021;не активирована
500022;активирована
500023;активирована
500024;активирована
500025;активирована
500026;активирована
500027;не активирована
500028;активирована
500029;активирована
500030;активирована
500031;активирована
500032;не активирована
500033;не активирована
500034;активирована
500035;не активирована
500036;не активирована
500037;не активирована
500038;активирована
500039;активирована
500040;активирована
500041;активирована
500042;не активирована
500043;активирована
500044;активирована
500045;активирована
500046;активирована
500047;активирована
500048;активирована
500049;активирована
500050;активирована
500051;активирована
500052;активирована
500053;активирована
500054;активирована
500055;активирована
500056;активирована
500057;активирована
500058;активирована
500059;не активирована
500060;активирована
500061;не активирована
500062;активирована
500063;активирована
500064;активирована
500065;активирована
500066;активирована
500067;активирована
500068;активирована
500069;активирована
500070;активирована
500071;активирована
500072;не активирована
500073;активирована
500074;активирована
500075;активирована
500076;не активирована
500077;активирована
500078;активирована
500079;активирована
500080;активирована
500081;не активирована
500082;активирована
500083;активирована
500084;активирована
500085;активирована
500086;активирована
500087;активирована
500088;не активирована
500089;активирована
500090;активирована
500091;активирована
500092;активирована
500093;активирована
500094;не активирована
500095;не активирована
500096;не активирована
500097;активирована
500098;активирована
500099;активирована
500100;активирована
500101;активирована
500102;активирована
500103;активирована
500104;не активирована
500105;активирована
500106;активирована
500107;активирована
500108;активирована
500109;активирована
500110;активирована
500111;активирована
500112;активирована
500113;активирована
500114;активирована
500115;активирована
500116;активирована
500117;активирована
500118;активирована
500119;активирована
