месяц;оборот_активной_карты_тыс_руб_в_мес;ставка_комиссии_проц
2024-01;48,58;0,52
2024-02;47,83;0,52
2024-03;47,01;0,52
2024-04;48,44;0,52
2024-05;47,82;0,52
2024-06;50,1;0,52
2024-07;48,6;0,52
2024-08;50,16;0,52
2024-09;50,49;0,52
2024-10;48,74;0,52
2024-11;50,22;0,52
2024-12;49,61;0,52
2025-01;49,42;0,52
2025-02;48,96;0,52
2025-03;51,26;0,52
2025-04;50,16;0,52
2025-05;50,81;0,52
2025-06;51,51;0,52
2025-07;52,18;0,52
2025-08;50,78;0,52
2025-09;50,02;0,52
2025-10;52,82;0,52
2025-11;51,08;0,52
2025-12;52,25;0,52
