id_заявки;итог_заявки
700000;выдана
700001;одобрена, не выдана
700002;выдана
700003;одобрена, не выдана
700004;выдана
700005;одобрена, не выдана
700006;выдана
700007;выдана
700008;выдана
700009;одобрена, не выдана
700010;выдана
700011;выдана
700012;выдана
700013;выдана
700014;выдана
700015;одобрена, не выдана
700016;выдана
700017;выдана
700018;выдана
700019;выдана
700020;выдана
700021;выдана
700022;выдана
700023;выдана
700024;выдана
700025;одобрена, не выдана
700026;одобрена, не выдана
700027;выдана
700028;одобрена, не выдана
700029;выдана
700030;одобрена, не выдана
700031;выдана
700032;одобрена, не выдана
700033;выдана
700034;выдана
700035;выдана
700036;выдана
700037;выдана
700038;выдана
700039;выдана
700040;выдана
700041;одобрена, не выдана
700042;одобрена, не выдана
700043;выдана
700044;одобрена, не выдана
700045;выдана
700046;выдана
700047;выдана
700048;одобрена, не выдана
700049;выдана
700050;выдана
700051;выдана
700052;выдана
700053;выдана
700054;выдана
700055;выдана
700056;выдана
700057;выдана
700058;одобрена, не выдана
700059;одобрена, не выдана
700060;выдана
700061;выдана
700062;выдана
700063;выдана
700064;выдана
700065;выдана
700066;выдана
700067;выдана
700068;выдана
700069;выдана
700070;выдана
700071;выдана
700072;выдана
700073;выдана
700074;выдана
700075;выдана
700076;выдана
700077;выдана
700078;выдана
700079;выдана
700080;выдана
700081;выдана
700082;выдана
700083;выдана
700084;выдана
700085;выдана
700086;одобрена, не выдана
700087;одобрена, не выдана
700088;выдана
700089;выдана
700090;одобрена, не выдана
700091;выдана
700092;одобрена, не выдана
700093;выдана
700094;выдана
700095;выдана
700096;выдана
700097;выдана
700098;выдана
700099;выдана
700100;выдана
700101;выдана
700102;выдана
700103;выдана
700104;выдана
700105;одобрена, не выдана
700106;выдана
700107;выдана
700108;одобрена, не выдана
700109;выдана
700110;одобрена, не выдана
700111;выдана
700112;одобрена, не выдана
700113;одобрена, не выдана
700114;выдана
700115;выдана
700116;одобрена, не выдана
700117;выдана
700118;выдана
700119;одобрена, не выдана
700120;выдана
700121;одобрена, не выдана
700122;выдана
700123;выдана
700124;выдана
700125;выдана
700126;одобрена, не выдана
700127;одобрена, не выдана
700128;выдана
700129;выдана
700130;выдана
700131;выдана
700132;выдана
700133;выдана
700134;выдана
700135;выдана
700136;выдана
700137;выдана
700138;выдана
700139;выдана
700140;одобрена, не выдана
700141;выдана
700142;выдана
700143;выдана
700144;одобрена, не выдана
700145;выдана
700146;выдана
700147;одобрена, не выдана
700148;выдана
700149;выдана
