date | tat_min
2026-05-04 | 41.1
2026-05-05 | 38.6
2026-05-06 | 39.5
2026-05-07 | 34.4
2026-05-08 | 39.9
2026-05-09 | 40.9
2026-05-10 | 36.9
2026-05-11 | 46.1
2026-05-12 | 40.4
2026-05-13 | 38.3
2026-05-14 | 43.6
2026-05-15 | 40.2
2026-05-16 | 41.2
2026-05-17 | 39.2
2026-05-18 | 41.4
2026-05-19 | 46.2
2026-05-20 | 43.8
2026-05-21 | 44.3
2026-05-22 | 41.7
2026-05-23 | 36.1
2026-05-24 | 40.2
2026-05-25 | 45.6
2026-05-26 | 45.7
2026-05-27 | 45.3
2026-05-28 | 37.9
2026-05-29 | 38.1
2026-05-30 | 41.2
2026-05-31 | 41.9
2026-06-01 | 42.3
2026-06-02 | 41.1
2026-06-03 | 39.3
2026-06-04 | 40.8
2026-06-05 | 43.5
2026-06-06 | 34.7
2026-06-07 | 41.7
2026-06-08 | 49.4
2026-06-09 | 39.5
2026-06-10 | 37.4
2026-06-11 | 45.7
2026-06-12 | 42.1
2026-06-13 | 42.9
2026-06-14 | 36.4
2026-06-15 | 40.4
2026-06-16 | 296.0
2026-06-17 | 37.7
2026-06-18 | 47.3
2026-06-19 | 41.1
2026-06-20 | 42.3
2026-06-21 | 37.0
2026-06-22 | 46.7
2026-06-23 | 39.4
2026-06-24 | 38.6
2026-06-25 | 38.0
2026-06-26 | 46.4
2026-06-27 | 41.2
2026-06-28 | 35.8
2026-06-29 | 44.9
2026-06-30 | 388.0
2026-07-01 | 40.7
2026-07-02 | 40.3
2026-07-03 | 40.8
2026-07-04 | 40.1
2026-07-05 | 38.6
2026-07-06 | 39.0
2026-07-07 | 43.8
2026-07-08 | 43.9
2026-07-09 | 44.4
2026-07-10 | 46.0
2026-07-11 | 38.7
2026-07-12 | 42.7
2026-07-13 | 441.0
2026-07-14 | 44.2
2026-07-15 | 48.4
2026-07-16 | 42.0
2026-07-17 | 45.1
2026-07-18 | 41.0
2026-07-19 | 43.5
2026-07-20 | 43.1
2026-07-21 | 38.2
2026-07-22 | 49.3
2026-07-23 | 41.7
2026-07-24 | 43.2
2026-07-25 | 512.0
2026-07-26 | 37.7
2026-07-27 | 45.5
2026-07-28 | 42.4
2026-07-29 | 41.2
2026-07-30 | 40.3
2026-07-31 | 51.2
2026-08-01 | 42.5
