app_id,tat_days,issued
APP-00001,0.149,1
APP-00002,0.099,1
APP-00003,0.162,0
APP-00004,0.135,1
APP-00005,0.13,1
APP-00006,0.154,1
APP-00007,9.866,0
APP-00008,8.311,0
APP-00009,0.29,1
APP-00010,0.138,1
APP-00011,0.112,0
APP-00012,7.356,0
APP-00013,0.088,0
APP-00014,0.208,1
APP-00015,0.041,0
APP-00016,6.015,0
APP-00017,0.234,0
APP-00018,8.74,0
APP-00019,0.11,1
APP-00020,8.185,0
APP-00021,0.157,1
APP-00022,14.413,1
APP-00023,0.109,1
APP-00024,2.861,1
APP-00025,0.06,1
APP-00026,0.079,0
APP-00027,0.056,0
APP-00028,2.841,1
APP-00029,0.088,1
APP-00030,0.128,1
APP-00031,0.08,1
APP-00032,0.266,0
APP-00033,0.094,0
APP-00034,0.088,0
APP-00035,3.497,1
APP-00036,9.01,0
APP-00037,0.108,1
APP-00038,5.97,1
APP-00039,0.552,1
APP-00040,0.163,1
APP-00041,4.468,0
APP-00042,0.071,0
APP-00043,0.193,1
APP-00044,0.067,1
APP-00045,1.033,1
APP-00046,0.149,1
APP-00047,0.044,1
APP-00048,0.204,0
APP-00049,0.163,1
APP-00050,11.621,0
APP-00051,2.62,1
APP-00052,4.969,0
APP-00053,0.095,1
APP-00054,0.286,0
APP-00055,0.107,1
APP-00056,0.142,0
APP-00057,0.156,0
APP-00058,0.153,1
APP-00059,0.069,0
APP-00060,0.276,1
APP-00061,0.7,1
APP-00062,0.128,1
APP-00063,0.102,0
APP-00064,0.116,1
APP-00065,0.182,1
APP-00066,0.141,1
APP-00067,0.504,1
APP-00068,0.12,0
APP-00069,5.552,0
APP-00070,6.507,1
APP-00071,0.08,1
APP-00072,16.633,0
APP-00073,0.179,1
APP-00074,0.04,0
APP-00075,0.083,1
APP-00076,0.582,1
APP-00077,7.385,0
APP-00078,9.686,0
APP-00079,0.095,1
APP-00080,0.122,0
APP-00081,0.17,1
APP-00082,6.662,0
APP-00083,0.131,1
APP-00084,16.433,1
APP-00085,0.206,0
APP-00086,0.193,1
APP-00087,0.321,1
APP-00088,0.127,0
APP-00089,0.108,1
APP-00090,0.156,1
APP-00091,0.327,1
APP-00092,0.068,1
APP-00093,11.13,1
APP-00094,0.177,1
APP-00095,0.108,1
APP-00096,0.108,1
APP-00097,0.073,1
APP-00098,4.187,0
APP-00099,3.738,1
APP-00100,0.088,1
APP-00101,0.159,1
APP-00102,0.137,0
APP-00103,0.281,0
APP-00104,6.247,0
APP-00105,0.6,1
APP-00106,0.154,1
APP-00107,0.138,1
APP-00108,0.153,0
APP-00109,6.991,1
APP-00110,0.092,1
APP-00111,0.075,1
APP-00112,0.262,0
APP-00113,0.11,1
APP-00114,0.31,0
APP-00115,0.191,1
APP-00116,0.464,1
APP-00117,0.171,1
APP-00118,0.063,1
APP-00119,15.77,0
APP-00120,0.166,1
APP-00121,0.199,1
APP-00122,0.126,1
APP-00123,0.448,0
APP-00124,0.279,1
APP-00125,0.258,1
APP-00126,0.272,1
APP-00127,9.962,1
APP-00128,0.136,1
APP-00129,0.283,0
APP-00130,0.077,1
APP-00131,0.119,1
APP-00132,10.279,0
APP-00133,0.109,1
APP-00134,0.041,1
APP-00135,4.32,1
APP-00136,0.09,0
APP-00137,6.729,1
APP-00138,0.129,0
APP-00139,15.265,1
APP-00140,0.204,0
APP-00141,0.157,1
APP-00142,0.257,1
APP-00143,0.083,1
APP-00144,7.767,0
APP-00145,0.14,1
APP-00146,0.065,0
APP-00147,0.279,1
APP-00148,0.301,1
APP-00149,0.094,1
APP-00150,0.327,0
APP-00151,0.051,1
APP-00152,0.093,1
APP-00153,0.317,1
APP-00154,0.19,1
APP-00155,0.123,1
APP-00156,1.549,1
APP-00157,9.759,0
APP-00158,7.742,0
APP-00159,10.08,0
APP-00160,0.275,1
APP-00161,9.933,1
APP-00162,7.178,0
APP-00163,0.12,0
APP-00164,0.098,1
APP-00165,0.058,0
APP-00166,0.12,1
APP-00167,3.686,0
APP-00168,10.752,0
APP-00169,0.188,1
APP-00170,10.893,1
APP-00171,0.264,0
APP-00172,0.074,0
APP-00173,0.146,0
APP-00174,0.098,0
APP-00175,10.582,1
APP-00176,0.135,1
APP-00177,0.336,1
APP-00178,0.153,0
APP-00179,0.19,1
APP-00180,0.152,1
APP-00181,0.093,0
APP-00182,0.069,1
APP-00183,0.139,1
APP-00184,0.215,1
APP-00185,0.147,0
APP-00186,0.357,1
APP-00187,7.433,0
APP-00188,0.312,0
APP-00189,7.083,0
APP-00190,0.129,0
APP-00191,6.733,0
APP-00192,0.281,1
APP-00193,0.179,1
APP-00194,0.098,0
APP-00195,0.126,1
APP-00196,0.301,0
APP-00197,3.456,0
APP-00198,0.216,0
APP-00199,0.135,1
APP-00200,0.185,0
APP-00201,5.666,0
APP-00202,6.373,0
APP-00203,0.06,1
APP-00204,0.222,0
APP-00205,0.273,1
APP-00206,0.132,1
APP-00207,4.333,1
APP-00208,4.226,1
APP-00209,0.096,1
APP-00210,0.062,1
APP-00211,0.133,0
APP-00212,0.098,0
APP-00213,0.307,1
APP-00214,6.88,0
APP-00215,7.07,1
APP-00216,0.043,1
APP-00217,0.272,1
APP-00218,1.006,1
APP-00219,5.363,0
APP-00220,0.09,0
APP-00221,0.166,0
APP-00222,8.677,0
APP-00223,0.157,1
APP-00224,0.156,0
APP-00225,0.271,1
APP-00226,0.374,1
APP-00227,0.115,0
APP-00228,8.706,0
APP-00229,0.124,1
APP-00230,0.05,0
APP-00231,0.471,1
APP-00232,0.167,0
APP-00233,0.086,1
APP-00234,0.074,0
APP-00235,2.573,1
APP-00236,0.156,1
APP-00237,0.171,1
APP-00238,0.124,1
APP-00239,0.125,1
APP-00240,0.111,1
APP-00241,0.178,1
APP-00242,0.168,1
APP-00243,8.393,1
APP-00244,0.142,1
APP-00245,0.059,1
APP-00246,0.141,1
APP-00247,7.667,0
APP-00248,5.764,0
APP-00249,0.196,1
APP-00250,0.095,1
APP-00251,0.13,0
APP-00252,0.215,1
APP-00253,5.684,1
APP-00254,9.615,0
APP-00255,0.151,0
APP-00256,0.109,1
APP-00257,0.228,1
APP-00258,0.163,1
APP-00259,0.174,0
APP-00260,0.149,0
APP-00261,5.105,0
APP-00262,0.235,1
APP-00263,2.935,0
APP-00264,0.155,0
APP-00265,2.585,0
APP-00266,3.925,0
APP-00267,0.103,1
APP-00268,10.762,1
APP-00269,1.799,0
APP-00270,3.747,0
APP-00271,6.69,0
APP-00272,3.055,0
APP-00273,0.297,1
APP-00274,0.176,1
APP-00275,0.414,1
APP-00276,0.146,0
APP-00277,0.19,1
APP-00278,1.999,1
APP-00279,0.22,1
APP-00280,0.074,1
APP-00281,0.383,1
APP-00282,1.162,0
APP-00283,0.24,1
APP-00284,0.131,1
APP-00285,0.154,0
APP-00286,0.211,0
APP-00287,0.067,1
APP-00288,0.287,1
APP-00289,10.491,1
APP-00290,7.391,0
APP-00291,0.178,1
APP-00292,0.106,1
APP-00293,0.08,1
APP-00294,0.094,1
APP-00295,0.164,1
APP-00296,0.255,0
APP-00297,4.462,0
APP-00298,0.173,1
APP-00299,0.119,1
APP-00300,1.149,1
APP-00301,6.264,0
APP-00302,0.17,1
APP-00303,0.2,0
APP-00304,0.071,1
APP-00305,0.068,1
APP-00306,12.642,1
APP-00307,0.141,0
APP-00308,4.174,1
APP-00309,0.072,0
APP-00310,0.243,0
APP-00311,7.243,0
APP-00312,0.112,0
APP-00313,0.234,1
APP-00314,2.412,1
APP-00315,0.18,0
APP-00316,0.065,1
APP-00317,5.897,1
APP-00318,0.216,1
APP-00319,0.114,1
APP-00320,0.318,0
APP-00321,0.061,1
APP-00322,8.748,0
APP-00323,6.023,1
APP-00324,6.99,1
APP-00325,8.199,0
APP-00326,0.083,1
APP-00327,0.172,0
APP-00328,10.961,0
APP-00329,0.135,1
APP-00330,0.156,1
APP-00331,0.127,0
APP-00332,0.317,1
APP-00333,6.393,0
APP-00334,0.228,0
APP-00335,0.15,1
APP-00336,3.884,0
APP-00337,0.201,1
APP-00338,0.088,0
APP-00339,9.033,0
APP-00340,0.091,1
APP-00341,0.066,1
APP-00342,0.6,0
APP-00343,0.193,1
APP-00344,5.19,0
APP-00345,10.901,0
APP-00346,0.149,1
APP-00347,0.324,1
APP-00348,0.344,0
APP-00349,4.255,0
APP-00350,6.544,0
APP-00351,0.182,1
APP-00352,0.305,1
APP-00353,0.255,0
APP-00354,0.157,1
APP-00355,0.105,1
APP-00356,0.128,1
APP-00357,0.109,0
APP-00358,0.062,1
APP-00359,0.082,0
APP-00360,0.204,1
APP-00361,0.241,1
APP-00362,0.237,1
APP-00363,4.685,0
APP-00364,0.092,1
APP-00365,7.197,0
APP-00366,0.396,1
APP-00367,6.308,1
APP-00368,0.083,1
APP-00369,0.101,0
APP-00370,0.164,0
APP-00371,0.181,1
APP-00372,0.039,0
APP-00373,0.1,1
APP-00374,6.665,0
APP-00375,4.267,1
APP-00376,0.161,1
APP-00377,7.396,0
APP-00378,0.15,1
APP-00379,8.272,0
APP-00380,0.175,1
APP-00381,9.674,0
APP-00382,0.16,1
APP-00383,12.587,1
APP-00384,0.124,1
APP-00385,0.252,1
APP-00386,0.14,1
APP-00387,0.15,1
APP-00388,10.083,1
APP-00389,5.965,0
APP-00390,9.129,1
APP-00391,6.003,1
APP-00392,6.306,0
APP-00393,0.102,0
APP-00394,0.138,1
APP-00395,0.151,1
APP-00396,0.063,1
APP-00397,0.083,1
APP-00398,8.43,0
APP-00399,0.13,1
APP-00400,0.185,1
APP-00401,0.185,1
APP-00402,0.098,0
APP-00403,0.108,1
APP-00404,0.216,1
APP-00405,7.723,0
APP-00406,6.059,1
APP-00407,11.005,1
APP-00408,7.125,1
APP-00409,0.251,0
APP-00410,0.141,0
APP-00411,0.129,1
APP-00412,0.09,0
APP-00413,0.233,1
APP-00414,0.071,1
APP-00415,0.32,0
APP-00416,0.088,1
APP-00417,7.057,1
APP-00418,0.348,1
APP-00419,0.219,1
APP-00420,7.257,1
APP-00421,0.136,1
APP-00422,0.217,1
