день;влияние_на_день
1;объём потерян
2;без потерь
3;без потерь
4;без потерь
5;без потерь
6;без потерь
7;без потерь
8;без потерь
9;без потерь
10;без потерь
11;без потерь
12;без потерь
13;без потерь
14;без потерь
15;без потерь
16;без потерь
17;объём потерян
18;без потерь
19;без потерь
20;без потерь
21;объём потерян
22;без потерь
23;без потерь
24;без потерь
25;без потерь
26;без потерь
27;без потерь
28;без потерь
29;без потерь
30;без потерь
31;без потерь
32;без потерь
33;объём потерян
34;без потерь
35;без потерь
36;без потерь
37;без потерь
38;без потерь
39;без потерь
40;без потерь
41;без потерь
42;без потерь
43;без потерь
44;без потерь
45;без потерь
46;без потерь
47;без потерь
48;без потерь
49;объём потерян
50;без потерь
51;без потерь
52;без потерь
53;без потерь
54;без потерь
55;без потерь
56;без потерь
57;без потерь
58;без потерь
59;без потерь
60;без потерь
61;без потерь
62;без потерь
63;объём потерян
64;без потерь
65;без потерь
66;без потерь
67;без потерь
68;без потерь
69;без потерь
70;без потерь
71;без потерь
72;без потерь
73;без потерь
74;без потерь
75;без потерь
76;без потерь
77;без потерь
78;без потерь
79;без потерь
80;без потерь
81;без потерь
82;без потерь
83;без потерь
84;без потерь
85;без потерь
86;без потерь
87;без потерь
88;объём потерян
89;объём потерян
90;без потерь
91;без потерь
92;без потерь
93;без потерь
94;без потерь
95;без потерь
96;без потерь
97;без потерь
98;без потерь
99;без потерь
100;без потерь
101;без потерь
102;без потерь
103;без потерь
104;без потерь
105;без потерь
106;без потерь
107;объём потерян
108;без потерь
109;без потерь
110;без потерь
111;без потерь
112;без потерь
113;без потерь
114;без потерь
115;без потерь
116;без потерь
117;без потерь
118;без потерь
119;без потерь
120;без потерь
121;без потерь
122;без потерь
123;без потерь
124;без потерь
125;без потерь
126;без потерь
127;без потерь
128;без потерь
129;объём потерян
130;без потерь
131;без потерь
132;без потерь
133;без потерь
134;объём потерян
135;без потерь
136;без потерь
137;без потерь
138;без потерь
139;без потерь
140;без потерь
141;объём потерян
142;объём потерян
143;без потерь
144;без потерь
145;без потерь
146;без потерь
147;без потерь
148;без потерь
149;объём потерян
150;без потерь
151;без потерь
152;без потерь
153;без потерь
154;без потерь
155;без потерь
156;без потерь
157;без потерь
158;без потерь
159;без потерь
160;без потерь
161;без потерь
162;без потерь
163;без потерь
164;без потерь
165;без потерь
166;без потерь
167;без потерь
168;без потерь
169;без потерь
170;без потерь
171;без потерь
172;без потерь
173;без потерь
174;без потерь
175;без потерь
176;без потерь
177;без потерь
178;без потерь
179;объём потерян
180;объём потерян
