месяц;регион;активных_клиентов
2024-01;Центральный;61517
2024-01;Северо-Западный;40423
2024-01;Южный;41396
2024-01;Уральский;31063
2024-01;Сибирский;33919
2024-02;Центральный;64049
2024-02;Северо-Западный;48968
2024-02;Южный;39655
2024-02;Уральский;29667
2024-02;Сибирский;30915
2024-03;Центральный;66599
2024-03;Северо-Западный;42057
2024-03;Южный;43665
2024-03;Уральский;28409
2024-03;Сибирский;29833
2024-04;Центральный;62597
2024-04;Северо-Западный;44472
2024-04;Южный;44610
2024-04;Уральский;28333
2024-04;Сибирский;36375
2024-05;Центральный;63785
2024-05;Северо-Западный;40121
2024-05;Южный;48137
2024-05;Уральский;28075
2024-05;Сибирский;35245
2024-06;Центральный;67654
2024-06;Северо-Западный;40270
2024-06;Южный;40204
2024-06;Уральский;34341
2024-06;Сибирский;31843
2024-07;Центральный;64906
2024-07;Северо-Западный;39862
2024-07;Южный;48353
2024-07;Уральский;33515
2024-07;Сибирский;29586
2024-08;Центральный;60843
2024-08;Северо-Западный;49949
2024-08;Южный;40250
2024-08;Уральский;33575
2024-08;Сибирский;31105
2024-09;Центральный;65320
2024-09;Северо-Западный;45103
2024-09;Южный;42833
2024-09;Уральский;30107
2024-09;Сибирский;30430
2024-10;Центральный;60973
2024-10;Северо-Западный;41874
2024-10;Южный;42332
2024-10;Уральский;34984
2024-10;Сибирский;33365
2024-11;Центральный;59019
2024-11;Северо-Западный;45482
2024-11;Южный;42071
2024-11;Уральский;34894
2024-11;Сибирский;36318
2024-12;Центральный;70054
2024-12;Северо-Западный;46418
2024-12;Южный;40371
2024-12;Уральский;32522
2024-12;Сибирский;33200
2025-01;Центральный;66140
2025-01;Северо-Западный;45243
2025-01;Южный;42517
2025-01;Уральский;33965
2025-01;Сибирский;31510
2025-02;Центральный;67773
2025-02;Северо-Западный;42799
2025-02;Южный;41625
2025-02;Уральский;37116
2025-02;Сибирский;35197
2025-03;Центральный;75646
2025-03;Северо-Западный;41769
2025-03;Южный;42768
2025-03;Уральский;32115
2025-03;Сибирский;29344
2025-04;Центральный;64680
2025-04;Северо-Западный;44553
2025-04;Южный;40691
2025-04;Уральский;35605
2025-04;Сибирский;36895
2025-05;Центральный;74125
2025-05;Северо-Западный;45090
2025-05;Южный;46169
2025-05;Уральский;31082
2025-05;Сибирский;30344
2025-06;Центральный;64171
2025-06;Северо-Западный;46498
2025-06;Южный;43134
2025-06;Уральский;35038
2025-06;Сибирский;37300
2025-07;Центральный;67990
2025-07;Северо-Западный;43308
2025-07;Южный;44154
2025-07;Уральский;33622
2025-07;Сибирский;37430
2025-08;Центральный;78030
2025-08;Северо-Западный;41551
2025-08;Южный;41463
2025-08;Уральский;32362
2025-08;Сибирский;31307
2025-09;Центральный;69964
2025-09;Северо-Западный;43818
2025-09;Южный;46941
2025-09;Уральский;36027
2025-09;Сибирский;31580
2025-10;Центральный;64501
2025-10;Северо-Западный;45682
2025-10;Южный;48204
2025-10;Уральский;37127
2025-10;Сибирский;34530
2025-11;Центральный;68754
2025-11;Северо-Западный;48847
2025-11;Южный;45176
2025-11;Уральский;31022
2025-11;Сибирский;35139
2025-12;Центральный;77251
2025-12;Северо-Западный;43336
2025-12;Южный;40671
2025-12;Уральский;32548
2025-12;Сибирский;33227
