месяц;получили_предложение;откликнулись
2024-01;20832;1224
2024-02;21325;1233
2024-03;21056;1323
2024-04;21639;1333
2024-05;21536;1413
2024-06;21431;1358
2024-07;21622;1252
2024-08;21572;1237
2024-09;21379;1356
2024-10;21353;1247
2024-11;21778;1420
2024-12;22257;1255
2025-01;21938;1447
2025-02;22451;1261
2025-03;22164;1401
2025-04;22242;1208
2025-05;22681;1423
2025-06;22614;1477
2025-07;22650;1280
2025-08;22471;1429
2025-09;22833;1461
2025-10;23004;1261
2025-11;22894;1469
2025-12;22703;1443
