месяц;стоимость_операции_в_отделении_руб;стоимость_операции_в_приложении_руб
2024-01;92,57;4,73
2024-02;91,24;4,78
2024-03;91,59;4,97
2024-04;94,33;5,0
2024-05;92,37;4,95
2024-06;94,52;4,96
2024-07;93,83;4,92
2024-08;92,4;5,01
2024-09;94,74;4,84
2024-10;92,66;5,09
2024-11;93,56;4,83
2024-12;94,93;5,0
2025-01;93,4;5,05
2025-02;95,01;5,08
2025-03;97,09;4,9
2025-04;97,32;5,01
2025-05;97,23;5,16
2025-06;95,7;5,06
2025-07;95,1;5,19
2025-08;96,79;5,07
2025-09;96,71;5,06
2025-10;96,67;5,31
2025-11;98,85;5,16
2025-12;98,94;5,34
