id_операции;доступность_в_приложении
1500000;доступна
1500001;только в отделении
1500002;доступна
1500003;только в отделении
1500004;только в отделении
1500005;доступна
1500006;доступна
1500007;только в отделении
1500008;только в отделении
1500009;доступна
1500010;только в отделении
1500011;только в отделении
1500012;доступна
1500013;только в отделении
1500014;доступна
1500015;доступна
1500016;только в отделении
1500017;только в отделении
1500018;доступна
1500019;только в отделении
1500020;только в отделении
1500021;доступна
1500022;только в отделении
1500023;только в отделении
1500024;только в отделении
1500025;только в отделении
1500026;доступна
1500027;только в отделении
1500028;только в отделении
1500029;только в отделении
1500030;доступна
1500031;только в отделении
1500032;только в отделении
1500033;доступна
1500034;только в отделении
1500035;только в отделении
1500036;доступна
1500037;доступна
1500038;только в отделении
1500039;доступна
1500040;только в отделении
1500041;только в отделении
1500042;доступна
1500043;только в отделении
1500044;только в отделении
1500045;доступна
1500046;только в отделении
1500047;доступна
1500048;только в отделении
1500049;доступна
1500050;только в отделении
1500051;только в отделении
1500052;только в отделении
1500053;доступна
1500054;доступна
1500055;доступна
1500056;только в отделении
1500057;только в отделении
1500058;доступна
1500059;доступна
1500060;только в отделении
1500061;только в отделении
1500062;доступна
1500063;только в отделении
1500064;доступна
1500065;только в отделении
1500066;доступна
1500067;доступна
1500068;только в отделении
1500069;только в отделении
1500070;доступна
1500071;только в отделении
1500072;доступна
1500073;доступна
1500074;доступна
1500075;только в отделении
1500076;доступна
1500077;доступна
1500078;только в отделении
1500079;доступна
1500080;доступна
1500081;только в отделении
1500082;только в отделении
1500083;доступна
1500084;только в отделении
1500085;доступна
1500086;только в отделении
1500087;только в отделении
1500088;доступна
1500089;только в отделении
1500090;только в отделении
1500091;только в отделении
1500092;только в отделении
1500093;только в отделении
1500094;только в отделении
1500095;только в отделении
1500096;доступна
1500097;только в отделении
1500098;только в отделении
1500099;доступна
1500100;только в отделении
1500101;только в отделении
1500102;только в отделении
1500103;только в отделении
1500104;только в отделении
1500105;доступна
1500106;только в отделении
1500107;только в отделении
1500108;только в отделении
1500109;доступна
1500110;только в отделении
1500111;только в отделении
1500112;только в отделении
1500113;только в отделении
1500114;только в отделении
1500115;только в отделении
1500116;только в отделении
1500117;только в отделении
1500118;только в отделении
1500119;только в отделении
1500120;только в отделении
1500121;только в отделении
1500122;только в отделении
1500123;только в отделении
1500124;доступна
1500125;только в отделении
1500126;только в отделении
1500127;только в отделении
1500128;только в отделении
1500129;только в отделении
1500130;доступна
1500131;только в отделении
1500132;только в отделении
1500133;только в отделении
1500134;только в отделении
1500135;только в отделении
1500136;только в отделении
1500137;доступна
1500138;только в отделении
1500139;только в отделении
1500140;доступна
1500141;только в отделении
1500142;доступна
1500143;только в отделении
1500144;доступна
1500145;только в отделении
1500146;только в отделении
1500147;только в отделении
1500148;доступна
1500149;доступна
1500150;только в отделении
1500151;доступна
1500152;только в отделении
1500153;только в отделении
1500154;доступна
1500155;только в отделении
1500156;только в отделении
1500157;только в отделении
1500158;только в отделении
1500159;доступна
1500160;доступна
1500161;только в отделении
1500162;только в отделении
1500163;только в отделении
1500164;только в отделении
1500165;только в отделении
1500166;доступна
1500167;только в отделении
1500168;доступна
1500169;только в отделении
1500170;только в отделении
1500171;только в отделении
1500172;доступна
1500173;только в отделении
1500174;только в отделении
1500175;только в отделении
1500176;только в отделении
1500177;доступна
1500178;доступна
1500179;доступна
1500180;только в отделении
1500181;только в отделении
1500182;только в отделении
1500183;доступна
1500184;только в отделении
1500185;только в отделении
1500186;доступна
1500187;доступна
1500188;только в отделении
1500189;доступна
1500190;доступна
1500191;доступна
1500192;доступна
1500193;только в отделении
1500194;только в отделении
1500195;только в отделении
1500196;только в отделении
1500197;доступна
1500198;только в отделении
1500199;только в отделении
