месяц;регион;заявок
2024-01;Центральный;1602
2024-01;Северо-Западный;1068
2024-01;Южный;1041
2024-01;Уральский;835
2024-01;Сибирский;862
2024-02;Центральный;1407
2024-02;Северо-Западный;978
2024-02;Южный;911
2024-02;Уральский;889
2024-02;Сибирский;812
2024-03;Центральный;1782
2024-03;Северо-Западный;968
2024-03;Южный;918
2024-03;Уральский;869
2024-03;Сибирский;889
2024-04;Центральный;1517
2024-04;Северо-Западный;1046
2024-04;Южный;959
2024-04;Уральский;914
2024-04;Сибирский;759
2024-05;Центральный;1611
2024-05;Северо-Западный;946
2024-05;Южный;1201
2024-05;Уральский;719
2024-05;Сибирский;796
2024-06;Центральный;1536
2024-06;Северо-Западный;1045
2024-06;Южный;1105
2024-06;Уральский;713
2024-06;Сибирский;784
2024-07;Центральный;1560
2024-07;Северо-Западный;1131
2024-07;Южный;1021
2024-07;Уральский;868
2024-07;Сибирский;846
2024-08;Центральный;1825
2024-08;Северо-Западный;921
2024-08;Южный;1030
2024-08;Уральский;790
2024-08;Сибирский;912
2024-09;Центральный;1795
2024-09;Северо-Западный;952
2024-09;Южный;1142
2024-09;Уральский;822
2024-09;Сибирский;928
2024-10;Центральный;1593
2024-10;Северо-Западный;1075
2024-10;Южный;1006
2024-10;Уральский;738
2024-10;Сибирский;919
2024-11;Центральный;1577
2024-11;Северо-Западный;1118
2024-11;Южный;1111
2024-11;Уральский;823
2024-11;Сибирский;685
2024-12;Центральный;1942
2024-12;Северо-Западный;1100
2024-12;Южный;1058
2024-12;Уральский;911
2024-12;Сибирский;778
2025-01;Центральный;1844
2025-01;Северо-Западный;1039
2025-01;Южный;1042
2025-01;Уральский;949
2025-01;Сибирский;810
2025-02;Центральный;1534
2025-02;Северо-Западный;1281
2025-02;Южный;973
2025-02;Уральский;950
2025-02;Сибирский;766
2025-03;Центральный;1720
2025-03;Северо-Западный;1193
2025-03;Южный;1164
2025-03;Уральский;1014
2025-03;Сибирский;830
2025-04;Центральный;1512
2025-04;Северо-Западный;1282
2025-04;Южный;1087
2025-04;Уральский;838
2025-04;Сибирский;798
2025-05;Центральный;1511
2025-05;Северо-Западный;1248
2025-05;Южный;1172
2025-05;Уральский;937
2025-05;Сибирский;866
2025-06;Центральный;1795
2025-06;Северо-Западный;1109
2025-06;Южный;975
2025-06;Уральский;830
2025-06;Сибирский;939
2025-07;Центральный;1476
2025-07;Северо-Западный;1237
2025-07;Южный;1266
2025-07;Уральский;861
2025-07;Сибирский;844
2025-08;Центральный;1871
2025-08;Северо-Западный;951
2025-08;Южный;1088
2025-08;Уральский;797
2025-08;Сибирский;867
2025-09;Центральный;1847
2025-09;Северо-Западный;1386
2025-09;Южный;1077
2025-09;Уральский;810
2025-09;Сибирский;956
2025-10;Центральный;1695
2025-10;Северо-Западный;1211
2025-10;Южный;1351
2025-10;Уральский;988
2025-10;Сибирский;923
2025-11;Центральный;2030
2025-11;Северо-Западный;1189
2025-11;Южный;1162
2025-11;Уральский;912
2025-11;Сибирский;778
2025-12;Центральный;1722
2025-12;Северо-Западный;1197
2025-12;Южный;1132
2025-12;Уральский;878
2025-12;Сибирский;866
