месяц;ставка_кредита_проц;стоимость_фондирования_проц
2024-01;19,31;14,26
2024-02;18,79;13,97
2024-03;19,14;14,14
2024-04;18,95;14,05
2024-05;18,71;13,69
2024-06;18,89;13,96
2024-07;18,83;13,73
2024-08;18,83;13,86
2024-09;18,82;13,79
2024-10;18,73;13,52
2024-11;18,82;13,36
2024-12;18,62;13,77
2025-01;18,78;13,28
2025-02;18,54;13,69
2025-03;18,25;13,58
2025-04;18,3;13,47
2025-05;18,36;13,56
2025-06;18,43;13,51
2025-07;17,92;13,38
2025-08;18,02;13,1
2025-09;18,31;13,28
2025-10;17,85;12,83
2025-11;17,78;13,06
2025-12;18,03;12,98
