месяц;стоимость_минуты_руб;средняя_длительность_мин
2024-01;11,57;7,38
2024-02;11,33;7,14
2024-03;11,68;7,32
2024-04;11,86;7,35
2024-05;11,69;7,14
2024-06;11,77;7,42
2024-07;11,7;7,17
2024-08;12,0;7,41
2024-09;11,79;7,47
2024-10;12,02;7,36
2024-11;12,02;7,29
2024-12;11,76;7,58
2025-01;12,08;7,71
2025-02;11,99;7,76
2025-03;12,03;7,75
2025-04;12,18;7,41
2025-05;12,14;7,7
2025-06;12,12;7,65
2025-07;12,46;7,45
2025-08;12,56;7,61
2025-09;12,42;7,93
2025-10;12,24;7,67
2025-11;12,25;7,9
2025-12;12,58;7,66
