месяц;регион;платежей
2024-01;Центральный;47278
2024-01;Северо-Западный;40330
2024-01;Южный;34757
2024-01;Уральский;29324
2024-01;Сибирский;26309
2024-02;Центральный;50705
2024-02;Северо-Западный;37309
2024-02;Южный;38049
2024-02;Уральский;26659
2024-02;Сибирский;29630
2024-03;Центральный;48438
2024-03;Северо-Западный;34899
2024-03;Южный;38442
2024-03;Уральский;30893
2024-03;Сибирский;29461
2024-04;Центральный;59542
2024-04;Северо-Западный;36162
2024-04;Южный;37426
2024-04;Уральский;28322
2024-04;Сибирский;29568
2024-05;Центральный;55203
2024-05;Северо-Западный;37233
2024-05;Южный;33115
2024-05;Уральский;24887
2024-05;Сибирский;29293
2024-06;Центральный;57118
2024-06;Северо-Западный;37198
2024-06;Южный;38363
2024-06;Уральский;29344
2024-06;Сибирский;30233
2024-07;Центральный;59197
2024-07;Северо-Западный;37285
2024-07;Южный;37153
2024-07;Уральский;23962
2024-07;Сибирский;23704
2024-08;Центральный;54179
2024-08;Северо-Западный;43031
2024-08;Южный;38199
2024-08;Уральский;27025
2024-08;Сибирский;25155
2024-09;Центральный;62108
2024-09;Северо-Западный;38982
2024-09;Южный;34630
2024-09;Уральский;25961
2024-09;Сибирский;32059
2024-10;Центральный;62105
2024-10;Северо-Западный;38163
2024-10;Южный;33947
2024-10;Уральский;31814
2024-10;Сибирский;25382
2024-11;Центральный;62313
2024-11;Северо-Западный;34780
2024-11;Южный;35601
2024-11;Уральский;28551
2024-11;Сибирский;30422
2024-12;Центральный;58814
2024-12;Северо-Западный;38220
2024-12;Южный;38248
2024-12;Уральский;28515
2024-12;Сибирский;29142
2025-01;Центральный;62523
2025-01;Северо-Западный;35908
2025-01;Южный;39872
2025-01;Уральский;27810
2025-01;Сибирский;30710
2025-02;Центральный;51976
2025-02;Северо-Западный;41171
2025-02;Южный;40877
2025-02;Уральский;28649
2025-02;Сибирский;28381
2025-03;Центральный;54062
2025-03;Северо-Западный;40578
2025-03;Южный;44259
2025-03;Уральский;29761
2025-03;Сибирский;26700
2025-04;Центральный;50953
2025-04;Северо-Западный;39021
2025-04;Южный;39537
2025-04;Уральский;31392
2025-04;Сибирский;31864
2025-05;Центральный;57629
2025-05;Северо-Западный;43697
2025-05;Южный;36769
2025-05;Уральский;30539
2025-05;Сибирский;31687
2025-06;Центральный;58216
2025-06;Северо-Западный;42022
2025-06;Южный;41736
2025-06;Уральский;31246
2025-06;Сибирский;29234
2025-07;Центральный;57476
2025-07;Северо-Западный;39577
2025-07;Южный;37970
2025-07;Уральский;31724
2025-07;Сибирский;30682
2025-08;Центральный;64078
2025-08;Северо-Западный;40460
2025-08;Южный;40970
2025-08;Уральский;34685
2025-08;Сибирский;29980
2025-09;Центральный;58759
2025-09;Северо-Западный;46249
2025-09;Южный;40184
2025-09;Уральский;30810
2025-09;Сибирский;30931
2025-10;Центральный;62712
2025-10;Северо-Западный;44093
2025-10;Южный;41866
2025-10;Уральский;32498
2025-10;Сибирский;27679
2025-11;Центральный;62182
2025-11;Северо-Западный;47367
2025-11;Южный;38891
2025-11;Уральский;29351
2025-11;Сибирский;35377
2025-12;Центральный;64789
2025-12;Северо-Западный;40803
2025-12;Южный;40053
2025-12;Уральский;29915
2025-12;Сибирский;28207
