месяц;регион;закрытые_счета
2024-01;Центральный;490
2024-01;Северо-Западный;287
2024-01;Южный;325
2024-01;Уральский;237
2024-01;Сибирский;182
2024-02;Центральный;451
2024-02;Северо-Западный;297
2024-02;Южный;285
2024-02;Уральский;197
2024-02;Сибирский;220
2024-03;Центральный;402
2024-03;Северо-Западный;297
2024-03;Южный;299
2024-03;Уральский;258
2024-03;Сибирский;253
2024-04;Центральный;426
2024-04;Северо-Западный;306
2024-04;Южный;277
2024-04;Уральский;258
2024-04;Сибирский;255
2024-05;Центральный;461
2024-05;Северо-Западный;341
2024-05;Южный;338
2024-05;Уральский;220
2024-05;Сибирский;265
2024-06;Центральный;501
2024-06;Северо-Западный;358
2024-06;Южный;333
2024-06;Уральский;211
2024-06;Сибирский;235
2024-07;Центральный;430
2024-07;Северо-Западный;378
2024-07;Южный;373
2024-07;Уральский;276
2024-07;Сибирский;237
2024-08;Центральный;416
2024-08;Северо-Западный;356
2024-08;Южный;363
2024-08;Уральский;210
2024-08;Сибирский;239
2024-09;Центральный;445
2024-09;Северо-Западный;367
2024-09;Южный;368
2024-09;Уральский;227
2024-09;Сибирский;254
2024-10;Центральный;494
2024-10;Северо-Западный;302
2024-10;Южный;361
2024-10;Уральский;238
2024-10;Сибирский;222
2024-11;Центральный;500
2024-11;Северо-Западный;352
2024-11;Южный;300
2024-11;Уральский;233
2024-11;Сибирский;284
2024-12;Центральный;556
2024-12;Северо-Западный;348
2024-12;Южный;356
2024-12;Уральский;236
2024-12;Сибирский;244
2025-01;Центральный;508
2025-01;Северо-Западный;365
2025-01;Южный;327
2025-01;Уральский;245
2025-01;Сибирский;233
2025-02;Центральный;530
2025-02;Северо-Западный;312
2025-02;Южный;381
2025-02;Уральский;283
2025-02;Сибирский;222
2025-03;Центральный;521
2025-03;Северо-Западный;396
2025-03;Южный;344
2025-03;Уральский;251
2025-03;Сибирский;319
2025-04;Центральный;550
2025-04;Северо-Западный;356
2025-04;Южный;390
2025-04;Уральский;294
2025-04;Сибирский;244
2025-05;Центральный;491
2025-05;Северо-Западный;365
2025-05;Южный;364
2025-05;Уральский;277
2025-05;Сибирский;299
2025-06;Центральный;590
2025-06;Северо-Западный;428
2025-06;Южный;329
2025-06;Уральский;272
2025-06;Сибирский;267
2025-07;Центральный;653
2025-07;Северо-Западный;363
2025-07;Южный;356
2025-07;Уральский;290
2025-07;Сибирский;288
2025-08;Центральный;507
2025-08;Северо-Западный;335
2025-08;Южный;408
2025-08;Уральский;267
2025-08;Сибирский;301
2025-09;Центральный;582
2025-09;Северо-Западный;331
2025-09;Южный;439
2025-09;Уральский;315
2025-09;Сибирский;327
2025-10;Центральный;658
2025-10;Северо-Западный;430
2025-10;Южный;350
2025-10;Уральский;291
2025-10;Сибирский;267
2025-11;Центральный;585
2025-11;Северо-Западный;349
2025-11;Южный;387
2025-11;Уральский;345
2025-11;Сибирский;280
2025-12;Центральный;592
2025-12;Северо-Западный;359
2025-12;Южный;356
2025-12;Уральский;310
2025-12;Сибирский;314
