id_клиента;причина_закрытия
100000;условия по ставке
100001;нерешённое обращение
100002;условия по ставке
100003;перевод средств в другой банк
100004;нет потребности
100005;нет потребности
100006;перевод средств в другой банк
100007;перевод средств в другой банк
100008;условия по ставке
100009;условия по ставке
100010;нерешённое обращение
100011;условия по ставке
100012;нерешённое обращение
100013;нерешённое обращение
100014;нерешённое обращение
100015;условия по ставке
100016;перевод средств в другой банк
100017;перевод средств в другой банк
100018;нерешённое обращение
100019;перевод средств в другой банк
100020;перевод средств в другой банк
100021;нет потребности
100022;перевод средств в другой банк
100023;условия по ставке
100024;нет потребности
100025;нет потребности
100026;нет потребности
100027;нерешённое обращение
100028;нет потребности
100029;перевод средств в другой банк
100030;нет потребности
100031;условия по ставке
100032;перевод средств в другой банк
100033;нет потребности
100034;условия по ставке
100035;перевод средств в другой банк
100036;условия по ставке
100037;условия по ставке
100038;перевод средств в другой банк
100039;условия по ставке
100040;перевод средств в другой банк
100041;нерешённое обращение
100042;условия по ставке
100043;условия по ставке
100044;условия по ставке
100045;нет потребности
100046;нет потребности
100047;условия по ставке
100048;нерешённое обращение
100049;нерешённое обращение
100050;нет потребности
100051;нет потребности
100052;перевод средств в другой банк
100053;перевод средств в другой банк
100054;перевод средств в другой банк
100055;нет потребности
100056;перевод средств в другой банк
100057;условия по ставке
100058;условия по ставке
100059;нет потребности
100060;перевод средств в другой банк
100061;нет потребности
100062;нет потребности
100063;перевод средств в другой банк
100064;нет потребности
100065;нет потребности
100066;нет потребности
100067;перевод средств в другой банк
100068;перевод средств в другой банк
100069;нерешённое обращение
100070;условия по ставке
100071;нерешённое обращение
100072;нет потребности
100073;нет потребности
100074;нет потребности
100075;нерешённое обращение
100076;перевод средств в другой банк
100077;нерешённое обращение
100078;перевод средств в другой банк
100079;перевод средств в другой банк
100080;перевод средств в другой банк
100081;условия по ставке
100082;условия по ставке
100083;условия по ставке
100084;нет потребности
100085;нерешённое обращение
100086;условия по ставке
100087;условия по ставке
100088;условия по ставке
100089;нет потребности
100090;перевод средств в другой банк
100091;нерешённое обращение
100092;нет потребности
100093;условия по ставке
100094;нет потребности
100095;условия по ставке
100096;перевод средств в другой банк
100097;условия по ставке
100098;нет потребности
100099;перевод средств в другой банк
