месяц;канал;выпущено_карт
2024-01;Мобильное приложение;140
2024-01;Отделение;79
2024-01;Сайт банка;63
2024-01;Партнёрская сеть;29
2024-02;Мобильное приложение;141
2024-02;Отделение;95
2024-02;Сайт банка;74
2024-02;Партнёрская сеть;29
2024-03;Мобильное приложение;139
2024-03;Отделение;85
2024-03;Сайт банка;54
2024-03;Партнёрская сеть;30
2024-04;Мобильное приложение;127
2024-04;Отделение;103
2024-04;Сайт банка;67
2024-04;Партнёрская сеть;36
2024-05;Мобильное приложение;146
2024-05;Отделение;93
2024-05;Сайт банка;67
2024-05;Партнёрская сеть;39
2024-06;Мобильное приложение;134
2024-06;Отделение;92
2024-06;Сайт банка;62
2024-06;Партнёрская сеть;26
2024-07;Мобильное приложение;140
2024-07;Отделение;94
2024-07;Сайт банка;66
2024-07;Партнёрская сеть;30
2024-08;Мобильное приложение;135
2024-08;Отделение;97
2024-08;Сайт банка;58
2024-08;Партнёрская сеть;33
2024-09;Мобильное приложение;140
2024-09;Отделение;117
2024-09;Сайт банка;66
2024-09;Партнёрская сеть;37
2024-10;Мобильное приложение;128
2024-10;Отделение;109
2024-10;Сайт банка;62
2024-10;Партнёрская сеть;30
2024-11;Мобильное приложение;145
2024-11;Отделение;103
2024-11;Сайт банка;63
2024-11;Партнёрская сеть;33
2024-12;Мобильное приложение;143
2024-12;Отделение;102
2024-12;Сайт банка;74
2024-12;Партнёрская сеть;39
2025-01;Мобильное приложение;147
2025-01;Отделение;108
2025-01;Сайт банка;64
2025-01;Партнёрская сеть;36
2025-02;Мобильное приложение;140
2025-02;Отделение;89
2025-02;Сайт банка;77
2025-02;Партнёрская сеть;31
2025-03;Мобильное приложение;146
2025-03;Отделение;127
2025-03;Сайт банка;69
2025-03;Партнёрская сеть;33
2025-04;Мобильное приложение;155
2025-04;Отделение;105
2025-04;Сайт банка;73
2025-04;Партнёрская сеть;33
2025-05;Мобильное приложение;146
2025-05;Отделение;100
2025-05;Сайт банка;69
2025-05;Партнёрская сеть;31
2025-06;Мобильное приложение;136
2025-06;Отделение;94
2025-06;Сайт банка;74
2025-06;Партнёрская сеть;39
2025-07;Мобильное приложение;147
2025-07;Отделение;111
2025-07;Сайт банка;72
2025-07;Партнёрская сеть;30
2025-08;Мобильное приложение;154
2025-08;Отделение;112
2025-08;Сайт банка;70
2025-08;Партнёрская сеть;36
2025-09;Мобильное приложение;167
2025-09;Отделение;99
2025-09;Сайт банка;66
2025-09;Партнёрская сеть;37
2025-10;Мобильное приложение;142
2025-10;Отделение;108
2025-10;Сайт банка;67
2025-10;Партнёрская сеть;38
2025-11;Мобильное приложение;140
2025-11;Отделение;117
2025-11;Сайт банка;80
2025-11;Партнёрская сеть;35
2025-12;Мобильное приложение;173
2025-12;Отделение;114
2025-12;Сайт банка;69
2025-12;Партнёрская сеть;43
