месяц;регион;одобрено_заявок
2024-01;Центральный;259
2024-01;Северо-Западный;181
2024-01;Южный;173
2024-01;Уральский;144
2024-01;Сибирский;139
2024-02;Центральный;262
2024-02;Северо-Западный;178
2024-02;Южный;175
2024-02;Уральский;148
2024-02;Сибирский;124
2024-03;Центральный;248
2024-03;Северо-Западный;166
2024-03;Южный;179
2024-03;Уральский;163
2024-03;Сибирский;149
2024-04;Центральный;315
2024-04;Северо-Западный;172
2024-04;Южный;167
2024-04;Уральский;137
2024-04;Сибирский;145
2024-05;Центральный;280
2024-05;Северо-Западный;223
2024-05;Южный;182
2024-05;Уральский;163
2024-05;Сибирский;130
2024-06;Центральный;263
2024-06;Северо-Западный;201
2024-06;Южный;206
2024-06;Уральский;159
2024-06;Сибирский;135
2024-07;Центральный;314
2024-07;Северо-Западный;217
2024-07;Южный;168
2024-07;Уральский;133
2024-07;Сибирский;146
2024-08;Центральный;268
2024-08;Северо-Западный;189
2024-08;Южный;190
2024-08;Уральский;149
2024-08;Сибирский;133
2024-09;Центральный;311
2024-09;Северо-Западный;174
2024-09;Южный;190
2024-09;Уральский;136
2024-09;Сибирский;141
2024-10;Центральный;262
2024-10;Северо-Западный;229
2024-10;Южный;177
2024-10;Уральский;163
2024-10;Сибирский;156
2024-11;Центральный;310
2024-11;Северо-Западный;195
2024-11;Южный;205
2024-11;Уральский;170
2024-11;Сибирский;150
2024-12;Центральный;302
2024-12;Северо-Западный;218
2024-12;Южный;205
2024-12;Уральский;133
2024-12;Сибирский;145
2025-01;Центральный;307
2025-01;Северо-Западный;243
2025-01;Южный;191
2025-01;Уральский;151
2025-01;Сибирский;153
2025-02;Центральный;320
2025-02;Северо-Западный;202
2025-02;Южный;214
2025-02;Уральский;134
2025-02;Сибирский;130
2025-03;Центральный;325
2025-03;Северо-Западный;211
2025-03;Южный;219
2025-03;Уральский;158
2025-03;Сибирский;154
2025-04;Центральный;305
2025-04;Северо-Западный;193
2025-04;Южный;205
2025-04;Уральский;158
2025-04;Сибирский;138
2025-05;Центральный;321
2025-05;Северо-Западный;203
2025-05;Южный;210
2025-05;Уральский;151
2025-05;Сибирский;164
2025-06;Центральный;307
2025-06;Северо-Западный;215
2025-06;Южный;233
2025-06;Уральский;167
2025-06;Сибирский;161
2025-07;Центральный;273
2025-07;Северо-Западный;195
2025-07;Южный;223
2025-07;Уральский;176
2025-07;Сибирский;163
2025-08;Центральный;277
2025-08;Северо-Западный;233
2025-08;Южный;236
2025-08;Уральский;165
2025-08;Сибирский;175
2025-09;Центральный;291
2025-09;Северо-Западный;216
2025-09;Южный;211
2025-09;Уральский;150
2025-09;Сибирский;185
2025-10;Центральный;313
2025-10;Северо-Западный;233
2025-10;Южный;243
2025-10;Уральский;158
2025-10;Сибирский;155
2025-11;Центральный;341
2025-11;Северо-Западный;212
2025-11;Южный;216
2025-11;Уральский;176
2025-11;Сибирский;180
2025-12;Центральный;362
2025-12;Северо-Западный;223
2025-12;Южный;248
2025-12;Уральский;149
2025-12;Сибирский;151
