месяц;ставка_кредита_проц;стоимость_фондирования_проц
2024-01;20,79;15,13
2024-02;21,28;14,88
2024-03;20,64;14,54
2024-04;20,7;14,62
2024-05;20,86;14,6
2024-06;20,62;14,42
2024-07;20,62;14,57
2024-08;20,26;14,32
2024-09;20,3;14,33
2024-10;20,08;14,13
2024-11;20,12;14,41
2024-12;19,93;14,07
2025-01;19,76;13,87
2025-02;19,69;13,84
2025-03;19,86;13,68
2025-04;20,0;13,55
2025-05;19,65;13,73
2025-06;19,53;13,42
2025-07;19,19;13,57
2025-08;19,15;13,59
2025-09;19,19;13,36
2025-10;19,22;13,01
2025-11;18,89;13,21
2025-12;18,98;12,88
